city,osm_id,name,area,combined_score_cultural,combined_score_environmental,combined_score_nature,combined_score_physical,combined_score_social
amsterdam,25649083,Adama van Scheltemaplein,0.182137617893388,1.06869062846712,-0.0818740972112128,-0.289890925394781,0.165951064601715,-0.233308750476917
amsterdam,66681688,Afrikanerplein,0.361323809903917,0.613922572254228,-0.0384570750438039,-0.430581830999029,0.400007587963363,-0.282294797067076
amsterdam,26516487,Amstelpark,44.2736091873033,2.28575503742621,-0.116414043463911,0.389533551164755,-0.299383333528337,-0.131494684903225
amsterdam,158535003,ArenaPark,2.0074816520201,-0.0482858555892098,0.470158153889733,-1.22074280402964,-0.0028862334989379,0.510404838858405
amsterdam,169173148,Baanakkerspark,22.5787201220341,-1.76866046184845,0.0363032466416321,1.80234779938318,-0.749086362007523,0.207435817237467
amsterdam,26037982,Beatrixpark,26.0642694873052,-0.613009722671526,-0.749432831069821,1.08595331066541,0.17002328825477,0.783555965937183
amsterdam,897155293,Bella Vistapark,2.24180208262845,0.225893646164893,-0.426220700063608,1.51147300183968,0.617990279953161,0.603262263252274
amsterdam,221261837,Bellamyplein,0.184220051758261,1.51252432195279,-0.0824748689574472,-0.280075125464913,0.518368663449498,1.01260880053515
amsterdam,969816155,Berend Seinen Heemtuin,0.355549192049818,0.617473977994092,0.13403266671912,-0.426344219248638,0.0653088394577628,-0.280819336761066
amsterdam,220886085,Bilderdijkpark,0.610337830867475,0.473579885319475,-0.187389333262455,-0.261151830973037,0.414343576002835,-0.333428408021546
amsterdam,258849298,Bolwerk,0.890307281201438,0.75143710094047,0.343385906034868,1.31401238516707,0.430195416192099,0.754866208715847
amsterdam,165538189,Botteskerkpark,2.94455687987624,-0.274885460498948,-0.11384589306342,-1.15426665544351,0.907898119247069,-0.117647551964263
amsterdam,148606801,Brand Dirk Ochsepark,0.753347095368469,0.402498403882256,-0.21643151918932,-0.68285757920573,0.279577195393863,0.303586409516875
amsterdam,996371677,Brasapark,43.6938725962125,-1.96605851801306,-0.970551957861473,-2.53067819974123,1.96267050551593,-0.80846714641144
amsterdam,41821878,Buiksloterbreekpark,5.2707179814609,-0.662157626724782,-0.651424400089766,-0.323614718598407,-0.263196500114334,0.133231642639646
amsterdam,378141759,Carel Willinkplantsoen,0.0604230344386936,0.822607101991258,-0.0447851962190977,0.173721842187825,0.190113668408497,0.141264428304708
amsterdam,471111446,Caspar Flickhof,0.0506397128279084,0.830350543544462,-0.0416214119991444,0.164524105386071,0.194824850911566,0.144481503874367
amsterdam,289194556,Corfuplantsoen,0.538061676303004,0.511944181733917,-0.171714603263958,-0.530183191937338,0.0011034325576326,-0.324662546151489
amsterdam,545029841,Darwinplantsoen,4.45991306505655,-0.546484158301533,-0.590541879211574,-0.541795069019101,-0.642854301489361,0.106374112851513
amsterdam,424113114,De Groene Zoom,3.8365375165257,-0.108340944717488,-0.515746675892354,-1.33850169449399,0.271059190842459,-0.715997492554579
amsterdam,244424254,De Krommert,0.320745812321454,0.639203873954717,-0.119719349820396,0.545268651577049,0.415388969149982,-0.271791475319118
amsterdam,1180944785,De Riethoek,5.36445084875248,-0.298793992247997,-0.656488909449094,-0.0259550492615434,-0.708119693746649,-0.44184332915372
amsterdam,33207504,Domela Nieuwenhuisplantsoen,0.222258306525422,0.703947509035253,-0.093266655678804,-0.323162189911749,0.454779604267548,-0.24489320724576
amsterdam,35702981,Dwaze Moeders plein,0.472382822848032,0.548403587376816,-0.156818165878937,1.54509453762035,0.036464080880376,0.0273443551796549
amsterdam,229295363,Ed Pelsterpark,0.872559881321405,0.347543245247934,-0.238884876975735,-0.411571680423623,0.662697511293166,-0.392964248019332
amsterdam,435121578,Eendrachtspark,6.59052400533191,-0.287825251837906,-0.71662388163385,-1.13494112827403,0.342648862600541,-0.339135629008353
amsterdam,10212039,Eerste Weteringplantsoen,0.935662354071123,0.853763846410816,0.101049422394591,0.690155337219862,0.440876593193759,0.87807592077011
amsterdam,1083345562,Entreepark,1.00820576765442,0.289116472828594,-0.262756652765999,-0.481287414809779,-0.134467036487772,-0.417238124289048
amsterdam,24979184,Erasmuspark,11.0835141266488,-0.264481778964661,-0.487751187833566,-0.493095295731449,0.183643862913665,0.648142488683335
amsterdam,219166975,Flevopark,33.2994697364527,0.998515404896833,0.186852265863072,0.99112711470007,1.21408024549875,0.343950648432238
amsterdam,1056268798,Floraveld,0.949504009274543,0.313901234354851,-0.238028026810834,-0.62534167165987,0.41452199290863,-0.406941094181945
amsterdam,74604095,Forintplantsoen,0.860803097179763,0.352805059230911,-0.236735026171892,-0.583247843770537,-0.0957183028862899,-0.390778184742375
amsterdam,221028664,Frederik Hendrikplantsoen,0.811575810401789,0.375204137997367,-0.227583300617319,0.567118180057644,0.591628598179345,-0.0446127601996624
amsterdam,221101231,Frederik Hendrikplantsoen,0.95579521855218,1.09337318205311,-0.253729956644038,0.813896732895047,-0.0984618087147605,-0.40805938087616
amsterdam,221174264,Frederik Hendrikplantsoen,0.266782893973471,1.01091471732238,-0.105479946718466,-0.243447837581084,0.0997332800187489,-0.257312221153543
amsterdam,59189317,Friendship Sports Centre,4.87666241220759,-0.607935946113356,-0.629270723805248,-1.81527983399986,0.383536561262713,-0.789925824177086
amsterdam,545030634,Galileïplantsoen,2.31150451940424,0.208121102947158,-0.433482134323086,-0.990333042766635,-0.0518343424591038,-0.590839336524566
amsterdam,6316354,Gerbrandypark,8.98351464438675,-0.128701699533165,-0.773089841882945,-1.05560468689352,0.0734545597849469,0.320114109077541
