city,osm_id,name,area,total_nodes,total_spaces,social_nodes,physical_nodes,nature_nodes,cultural_nodes,environmental_nodes,nature_area,physical_area,environmental_area,social_area,cultural_area
berlin,393510167,Hoher Steinweg,0.165798999775521,0,1,0.0,0.0,0.0,0.0,0.0,0.0005570041166606,0.0,0.0,0.0,0.0
berlin,175616015,Humannplatz,1.81644221089744,130,19,0.0,14.0,111.0,3.0,0.0,0.447731879424597,0.932873772511828,0.0,0.0057726713705461,0.0
berlin,7331557,Insulaner,9.853684558235,41,9,26.0,3.0,1.0,0.0,0.0,0.035484679104225,0.219432410407832,0.0,0.0,0.016787065666986
berlin,176696872,Invalidenpark,2.18402414006806,101,48,17.0,6.0,56.0,0.0,1.0,0.433425073206219,0.928365571468418,0.0143799763947211,0.0,0.252994165998953
berlin,23991375,Jacob-Teitel-Park,0.43417999528818,4,4,1.0,1.0,0.0,0.0,0.0,0.0,0.183490723670507,0.0,0.0,0.0
berlin,23852021,James-Simon-Park,0.971819445824793,57,3,5.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin,32228998,Jelena-Šantić-Friedenspark,10.3980396219824,201,9,21.5,5.0,138.5,0.0,6.0,0.0829016756217674,0.532274444822987,0.132190858752211,0.0,0.0
berlin,101369558,Jochen-Klepper-Park,0.368012319484788,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin,28844679,Johann-Baptist-Gradl Grünanlage,4.5661350472683,4,5,0.0,3.0,0.0,0.0,0.0,0.0,0.220589539106085,0.0,0.0,0.0
berlin,91844144,Johann-Baptist-Gradl Grünanlage,3.24373410460115,8,3,1.0,2.0,0.0,1.0,0.0,0.0,0.311162726940527,0.0,0.0,0.0
berlin,1100164,Johannisthaler Park,3.02389381594981,21,4,8.0,2.0,0.0,0.0,6.0,9.30910518091292e-05,0.0322913425343522,0.0,0.0,0.0
